time,x,y
1728643035207,310.5245774562257,192.04327653818092
1728643035213,310.5245774562257,192.04327653818092
1728643035218,312.13837548638134,194.09135989178014
1728643035222,312.13837548638134,194.09135989178014
1728643035232,312.13837548638134,194.09135989178014
1728643035237,312.13837548638134,194.09135989178014
1728643035242,312.13837548638134,194.09135989178014
1728643035247,312.13837548638134,194.09135989178014
1728643035257,312.13837548638134,194.09135989178014
1728643035262,312.03783134727627,194.84202106639106
1728643035267,312.03783134727627,194.84202106639106
1728643035276,312.03783134727627,194.84202106639106
1728643035280,312.03783134727627,194.84202106639106
1728643035285,312.03783134727627,194.84202106639106
1728643035295,312.03783134727627,194.84202106639106
1728643035301,312.03783134727627,194.84202106639106
1728643035306,308.59957137645915,203.324530338035
1728643035312,308.59957137645915,203.324530338035
1728643035317,308.59957137645915,203.324530338035
1728643035322,308.59957137645915,203.324530338035
1728643035332,308.59957137645915,203.324530338035
1728643035341,308.59957137645915,203.324530338035
1728643035346,308.59957137645915,203.324530338035
1728643035351,310.14937986381324,209.04878252675098
1728643035357,310.14937986381324,209.04878252675098
1728643035366,310.14937986381324,209.04878252675098
1728643035372,310.14937986381324,209.04878252675098
1728643035377,310.14937986381324,209.04878252675098
1728643035382,310.14937986381324,209.04878252675098
1728643035392,310.14937986381324,209.04878252675098
1728643035397,311.12408043531127,209.10505836575874
1728643035402,311.12408043531127,209.10505836575874
1728643035406,311.12408043531127,209.10505836575874
1728643035416,311.12408043531127,209.10505836575874
1728643035422,311.12408043531127,209.10505836575874
1728643035426,311.12408043531127,209.10505836575874
1728643035431,312.79708019212063,206.90328991366732
1728643035441,312.79708019212063,206.90328991366732
1728643035446,312.79708019212063,206.90328991366732
1728643035451,312.79708019212063,206.90328991366732
1728643035456,312.79708019212063,206.90328991366732
1728643035466,312.79708019212063,206.90328991366732
1728643035472,312.79708019212063,206.90328991366732
1728643035476,314.79405550826846,207.5376565539883
1728643035482,314.79405550826846,207.5376565539883
1728643035488,314.79405550826846,207.5376565539883
1728643035497,314.79405550826846,207.5376565539883
1728643035501,314.79405550826846,207.5376565539883
1728643035506,314.79405550826846,207.5376565539883
1728643035516,314.79405550826846,207.5376565539883
1728643035522,314.79405550826846,207.5376565539883
1728643035526,318.2088703793774,206.64121397738325
1728643035531,318.2088703793774,206.64121397738325
1728643035541,318.2088703793774,206.64121397738325
1728643035546,318.2088703793774,206.64121397738325
1728643035551,318.2088703793774,206.64121397738325
1728643035556,318.2088703793774,206.64121397738325
1728643035566,318.2088703793774,206.64121397738325
1728643035571,320.5346280702821,202.7004803015564
1728643035576,320.5346280702821,202.7004803015564
1728643035581,320.5346280702821,202.7004803015564
1728643035591,320.5346280702821,202.7004803015564
1728643035596,320.5346280702821,202.7004803015564
1728643035601,320.5346280702821,202.7004803015564
1728643035607,321.8683958535992,205.18269698443578
1728643035616,321.8683958535992,205.18269698443578
1728643035621,321.8683958535992,205.18269698443578
1728643035630,321.8683958535992,205.18269698443578
1728643035635,321.8683958535992,205.18269698443578
1728643035640,321.8683958535992,205.18269698443578
1728643035644,321.8683958535992,205.18269698443578
1728643035654,324.9166198017996,201.95544291099225
1728643035658,324.9166198017996,201.95544291099225
1728643035664,324.9166198017996,201.95544291099225
1728643035673,324.9166198017996,201.95544291099225
1728643035678,324.9166198017996,201.95544291099225
1728643035683,324.9166198017996,201.95544291099225
1728643035692,324.9166198017996,201.95544291099225
1728643035697,325.4877758694066,200.67310615272373
1728643035701,325.4877758694066,200.67310615272373
1728643035707,325.4877758694066,200.67310615272373
1728643035716,325.4877758694066,200.67310615272373
1728643035722,325.4877758694066,200.67310615272373
1728643035727,325.4877758694066,200.67310615272373
1728643035736,327.4871450936284,200.98796206225683
